player_id,player_name,age,season,game_num,date,team,opponent,home_away_status,result,G,A,P,rating,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S_perc,shifts,TOI,HIT,BLK,FOW,FOL,FOW_perc
/a/ahose01,Sebastian Aho,23,2021,21,2021-03-01,CAR,FLA,0,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,22,17.233333333333334,1,0,6,3,66.7
/a/ahose01,Sebastian Aho,23,2021,22,2021-03-02,CAR,NSH,0,W,2,0,2,1,0,1,1,0,0,0,0,0,4,50.0,22,18.0,0,0,4,5,44.4
/a/ahose01,Sebastian Aho,23,2021,23,2021-03-04,CAR,DET,1,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,18.83333333333333,1,0,11,5,68.8
/a/ahose01,Sebastian Aho,23,2021,24,2021-03-07,CAR,FLA,1,W,1,1,2,3,0,0,0,1,1,1,0,0,3,33.3,24,22.2,2,0,14,5,73.7
/a/ahose01,Sebastian Aho,23,2021,25,2021-03-09,CAR,NSH,1,W,1,1,2,0,2,0,1,0,0,0,1,0,1,100.0,29,22.75,1,0,11,6,64.7
/a/ahose01,Sebastian Aho,23,2021,26,2021-03-11,CAR,NSH,1,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,18.05,0,1,5,5,50.0
/a/ahose01,Sebastian Aho,23,2021,27,2021-03-14,CAR,DET,0,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,20,20.633333333333333,1,2,3,3,50.0
/a/ahose01,Sebastian Aho,23,2021,28,2021-03-16,CAR,DET,0,L,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,23,20.933333333333334,0,0,8,4,66.7
/a/ahose01,Sebastian Aho,23,2021,29,2021-03-18,CAR,CBJ,1,L-OT,2,0,2,0,0,1,1,0,0,0,0,0,2,100.0,26,22.316666666666666,0,0,4,7,36.4
/a/ahose01,Sebastian Aho,23,2021,30,2021-03-20,CAR,CBJ,1,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,23,23.86666666666667,1,0,10,7,58.8
/a/ahose01,Sebastian Aho,23,2021,31,2021-03-22,CAR,CBJ,0,W,0,2,2,2,2,0,0,0,0,2,0,0,3,0.0,21,18.4,0,0,4,4,50.0
/a/ahose01,Sebastian Aho,23,2021,32,2021-03-25,CAR,CBJ,0,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,22,21.25,0,0,5,5,50.0
/a/ahose01,Sebastian Aho,23,2021,33,2021-03-27,CAR,TBL,1,W,1,1,2,2,0,1,0,0,0,0,1,0,6,16.7,25,23.016666666666666,2,0,5,8,38.5
/a/ahose01,Sebastian Aho,23,2021,34,2021-03-30,CAR,CHI,0,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,17.966666666666665,0,0,6,6,50.0
/a/ahose01,Sebastian Aho,23,2021,35,2021-04-01,CAR,CHI,0,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,17.333333333333332,2,0,9,7,56.3
/a/ahose01,Sebastian Aho,23,2021,36,2021-04-03,CAR,DAL,1,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,22,19.316666666666666,1,0,7,9,43.8
/a/ahose01,Sebastian Aho,23,2021,37,2021-04-04,CAR,DAL,1,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,18.516666666666666,0,1,8,6,57.1
/a/ahose01,Sebastian Aho,23,2021,38,2021-04-06,CAR,FLA,1,W,0,3,3,1,2,0,0,0,0,1,2,0,3,0.0,23,18.916666666666668,2,0,9,4,69.2
/a/ahose01,Sebastian Aho,23,2021,39,2021-04-08,CAR,FLA,1,W,1,0,1,1,4,0,1,0,1,0,0,0,3,33.3,26,18.7,2,0,4,3,57.1
