player_id,cluster
terrytr01,skill
texieal01,grinder
theodsh01,skill
thomaro01,skill
thompna01,grinder
thompta01,skill
thornjo01,grinder
tiernch01,grinder
timmico01,defensive
tinorja01,defensive
tippeow01,grinder
tkachbr01,skill
tkachma01,skill
toewsde01,defensive
toewsjo01,skill
toffoty01,skill
tolvaee01,grinder
tomasph01,grinder
tonindo01,grinder
toropal01,grinder
treniya01,grinder
trochvi01,skill
troubja01,defensive
tuchal01,skill
tuckety01,defensive
turriky01,grinder
vaakaur01,defensive
valimju01,defensive
vanrija01,skill
vanritr01,defensive
vatansa01,defensive
vatrafr01,skill
velenjo01,grinder
verhaca01,skill
vesalkr01,grinder
veseyji02,grinder
vielje01,grinder
vilarga01,skill
virtaja01,grinder
vlasial01,defensive
vlasima01,defensive
volkoal01,grinder
voracja01,skill
vorondi01,grinder
vranaja01,skill
wagneau01,grinder
wagnech01,grinder
wahlsol01,grinder
walkena01,grinder
walkese01,defensive
walmaja01,defensive
watsoau01,grinder
weathja01,grinder
webersh01,defensive
weegama01,defensive
wennbal01,skill
werenza01,skill
wheelbl01,skill
whiteco02,grinder
whiteco03,grinder
whiteza01,defensive
widemch01,grinder
willmma01,grinder
wilsoto01,skill
wolanch01,grinder
woodmi01,grinder
xhekaar01,defensive
yamamka01,grinder
yandlke01,grinder
yloneje01,grinder
yorkca01,defensive
zachapa01,skill
zadinfi01,grinder
zadorni01,defensive
zaitsni01,defensive
zajactr01,grinder
zamulye01,defensive
zaryco01,grinder
zborija01,defensive
zegratr01,skill
zettefa01,grinder
zibanmi01,skill
zohorra01,grinder
zubar01,defensive
zuccama01,skill
zuckeja01,grinder
