date_game,team,ml_odds
2021-03-04,TBL,-225
2021-03-04,CHI,188
2021-03-04,CBJ,130
2021-03-04,DAL,-150
2021-03-04,OTT,176
2021-03-04,CGY,-210
2021-03-04,TOR,-158
2021-03-04,VAN,138
2021-03-04,BUF,160
2021-03-04,NYI,-185
2021-03-04,NYR,-117
2021-03-04,NJD,-103
2021-03-05,WSH,117
2021-03-05,BOS,-137
2021-03-05,TBL,-190
2021-03-05,CHI,163
2021-03-05,MIN,-140
2021-03-05,ARI,120
2021-03-05,STL,-127
2021-03-05,LAK,107
2021-03-05,ANA,218
2021-03-05,COL,-265
2021-03-05,VGK,-210
2021-03-05,SJS,176
2021-03-06,BUF,170
2021-03-06,NYI,-200
2021-03-06,NYR,-125
2021-03-06,NJD,105
2021-03-06,PHI,-112
2021-03-06,PIT,-108
2021-03-06,FLA,-145
2021-03-06,NSH,125
2021-03-06,WPG,123
2021-03-06,MTL,-143
2021-03-06,TOR,-170
2021-03-06,VAN,148
2021-03-06,MIN,-140
2021-03-06,ARI,120
2021-03-06,ANA,215
2021-03-06,COL,-260
2021-03-06,CBJ,115
2021-03-06,DAL,-135
2021-03-06,STL,-137
2021-03-06,LAK,117
2021-03-06,CGY,110
2021-03-06,EDM,-130
2021-03-06,VGK,-215
2021-03-06,SJS,180
2021-03-07,BUF,187
2021-03-07,NYI,-224
2021-03-07,TBL,-200
2021-03-07,CHI,170
2021-03-07,FLA,130
2021-03-07,CAR,-150
2021-03-07,NJD,221
2021-03-07,BOS,-268
2021-03-07,WSH,-109
2021-03-07,PHI,-111
2021-03-07,NYR,130
2021-03-07,PIT,-150
2021-03-07,NSH,129
2021-03-07,DAL,-149
2021-03-07,OTT,162
2021-03-07,CGY,-189
2021-03-08,VGK,-125
2021-03-08,MIN,105
2021-03-08,OTT,203
2021-03-08,EDM,-245
2021-03-08,ARI,163
2021-03-08,COL,-190
2021-03-08,MTL,-151
2021-03-08,VAN,131
2021-03-08,LAK,-118
2021-03-08,ANA,-102
2021-03-08,STL,-147
2021-03-08,SJS,127
2021-03-09,NYR,135
2021-03-09,PIT,-155
2021-03-09,BUF,199
2021-03-09,PHI,-240
2021-03-09,NSH,172
2021-03-09,CAR,-205
2021-03-09,NJD,172
2021-03-09,WSH,-205
2021-03-09,BOS,-119
2021-03-09,NYI,-101
2021-03-09,FLA,-120
2021-03-09,CBJ,100
2021-03-09,WPG,160
2021-03-09,TOR,-185
2021-03-09,TBL,-350
2021-03-09,DET,281
2021-03-09,CHI,115
2021-03-09,DAL,-135
2021-03-10,VGK,-113
2021-03-10,MIN,-107
2021-03-10,OTT,199
2021-03-10,EDM,-240
2021-03-10,ARI,152
2021-03-10,COL,-177
2021-03-10,LAK,-125
2021-03-10,ANA,105
2021-03-10,MTL,-140
2021-03-10,VAN,120
2021-03-11,WSH,-107
2021-03-11,PHI,-113
2021-03-11,FLA,-125
2021-03-11,CBJ,105
2021-03-11,WPG,152
2021-03-11,TOR,-177
2021-03-11,NSH,163
2021-03-11,CAR,-190
2021-03-11,NJD,184
2021-03-11,NYI,-220
2021-03-11,PIT,-185
2021-03-11,BUF,160
2021-03-11,NYR,166
2021-03-11,BOS,-195
2021-03-11,TBL,-330
2021-03-11,DET,267
2021-03-11,CHI,125
2021-03-11,DAL,-145
2021-03-11,MTL,-110
2021-03-11,CGY,-110
2021-03-12,ARI,140
2021-03-12,MIN,-160
2021-03-12,VGK,-135
2021-03-12,STL,115
2021-03-12,OTT,192
2021-03-12,EDM,-230
2021-03-12,LAK,184
2021-03-12,COL,-220
2021-03-12,SJS,-110
2021-03-12,ANA,-110
2021-03-13,NYR,160
2021-03-13,BOS,-185
2021-03-13,DAL,-125
2021-03-13,CBJ,105
2021-03-13,WPG,160
2021-03-13,TOR,-185
2021-03-13,NYI,-165
2021-03-13,NJD,144
2021-03-13,NSH,222
2021-03-13,TBL,-270
2021-03-13,PIT,-210
2021-03-13,BUF,176
2021-03-13,MTL,-110
2021-03-13,CGY,-110
2021-03-13,CHI,130
2021-03-13,FLA,-150
2021-03-13,WSH,105
2021-03-13,PHI,-125
2021-03-13,VGK,-112
2021-03-13,STL,-108
2021-03-13,EDM,-133
2021-03-13,VAN,113
2021-03-13,SJS,-115
2021-03-13,ANA,-105
2021-03-14,ARI,166
2021-03-14,MIN,-195
2021-03-14,CAR,-235
2021-03-14,DET,195
2021-03-14,NYI,-181
2021-03-14,NJD,156
2021-03-14,DAL,-120
2021-03-14,CBJ,100
2021-03-14,TOR,199
2021-03-14,OTT,-240
2021-03-14,LAK,192
2021-03-14,COL,-230
2021-03-15,NSH,252
2021-03-15,TBL,-310
2021-03-15,BOS,-113
2021-03-15,PIT,-107
2021-03-15,VAN,-175
2021-03-15,OTT,151
2021-03-15,PHI,-113
2021-03-15,NYR,-107
2021-03-15,CHI,150
2021-03-15,FLA,-173
2021-03-15,WSH,-215
2021-03-15,BUF,180
2021-03-15,MTL,-120
2021-03-15,WPG,100
2021-03-15,EDM,-110
2021-03-15,CGY,-110
2021-03-15,SJS,207
2021-03-15,VGK,-250
2021-03-16,BOS,-107
2021-03-16,PIT,-113
2021-03-16,BUF,140
2021-03-16,NJD,-160
2021-03-16,NYI,-110
2021-03-16,WSH,-110
2021-03-16,CAR,-245
2021-03-16,DET,203
2021-03-16,ARI,170
2021-03-16,MIN,-200
2021-03-16,TBL,-152
2021-03-16,DAL,132
2021-03-16,ANA,237
2021-03-16,COL,-290
2021-03-17,VAN,-156
2021-03-17,OTT,136
