Unnamed: 0,date_recorded,time_recorded,game_id,date_game,time_game,team,ml_odds
175.0,2023-02-25,11:26:19,88,2023-02-25,12:00:00,WAS Capitals,+125
176.0,2023-02-25,11:26:19,89,2023-02-25,14:30:00,PIT Penguins,−155
177.0,2023-02-25,11:26:19,89,2023-02-25,14:30:00,STL Blues,+135
178.0,2023-02-25,11:27:02,90,2023-02-25,18:00:00,ANA Ducks,+380
179.0,2023-02-25,11:27:02,90,2023-02-25,18:00:00,CAR Hurricanes,−475
180.0,2023-02-25,11:27:02,91,2023-02-25,18:00:00,BOS Bruins,−260
181.0,2023-02-25,11:27:02,91,2023-02-25,18:00:00,VAN Canucks,+220
182.0,2023-02-25,11:27:02,92,2023-02-25,18:00:00,PHI Flyers,+250
183.0,2023-02-25,11:27:02,92,2023-02-25,18:00:00,NJ Devils,−300
184.0,2023-02-25,11:27:02,93,2023-02-25,18:00:00,OTT Senators,−165
185.0,2023-02-25,11:27:02,93,2023-02-25,18:00:00,MTL Canadiens,+140
186.0,2023-02-25,11:27:02,94,2023-02-25,19:00:00,TB Lightning,−190
187.0,2023-02-25,11:27:02,94,2023-02-25,19:00:00,DET Red Wings,+160
188.0,2023-02-25,11:27:02,95,2023-02-25,21:00:00,CGY Flames,+105
189.0,2023-02-25,11:27:02,95,2023-02-25,21:00:00,COL Avalanche,−125
190.0,2023-02-25,11:27:02,96,2023-02-25,21:00:00,DAL Stars,+100
191.0,2023-02-25,11:27:02,96,2023-02-25,21:00:00,VGK Golden Knights,−120
192.0,2023-02-25,11:27:02,97,2023-02-25,21:00:00,CHI Blackhawks,+160
193.0,2023-02-25,11:27:02,97,2023-02-25,21:00:00,SJ Sharks,−190
194.0,2023-02-26,09:51:56,98,2023-02-26,12:00:00,WAS Capitals,+105
195.0,2023-02-26,09:51:56,98,2023-02-26,12:00:00,BUF Sabres,−125
196.0,2023-02-26,09:51:56,99,2023-02-26,13:00:00,CBJ Blue Jackets,+245
197.0,2023-02-26,09:51:56,99,2023-02-26,13:00:00,MIN Wild,−295
198.0,2023-02-26,09:51:56,100,2023-02-26,14:30:00,NY Islanders,+125
199.0,2023-02-26,09:51:56,100,2023-02-26,14:30:00,WPG Jets,−145
200.0,2023-02-26,09:51:56,101,2023-02-26,16:00:00,LA Kings,+120
201.0,2023-02-26,09:51:56,101,2023-02-26,16:00:00,NY Rangers,−140
202.0,2023-02-26,09:51:56,102,2023-02-26,17:00:00,TB Lightning,−110
203.0,2023-02-26,09:51:56,102,2023-02-26,17:00:00,PIT Penguins,−110
204.0,2023-02-26,09:53:16,103,2023-02-26,18:00:00,TOR Maple Leafs,−150
205.0,2023-02-26,09:53:16,103,2023-02-26,18:00:00,SEA Kraken,+130
206.0,2023-02-26,09:53:16,104,2023-02-26,18:00:00,NSH Predators,−170
207.0,2023-02-26,09:53:16,104,2023-02-26,18:00:00,ARI Coyotes,+145
208.0,2023-02-27,10:00:04,105,2023-02-27,18:00:00,DET Red Wings,+115
209.0,2023-02-27,10:00:04,105,2023-02-27,18:00:00,OTT Senators,−135
210.0,2023-02-27,10:00:04,106,2023-02-27,19:30:00,BOS Bruins,−140
211.0,2023-02-27,10:00:04,106,2023-02-27,19:30:00,EDM Oilers,+120
212.0,2023-02-27,10:00:04,107,2023-02-27,19:30:00,VAN Canucks,+230
213.0,2023-02-27,10:00:04,107,2023-02-27,19:30:00,DAL Stars,−275
214.0,2023-02-27,10:00:04,108,2023-02-27,20:00:00,VGK Golden Knights,+120
215.0,2023-02-27,10:00:04,108,2023-02-27,20:00:00,COL Avalanche,−140
216.0,2023-02-27,10:00:04,109,2023-02-27,21:00:00,CHI Blackhawks,+105
217.0,2023-02-27,10:00:04,109,2023-02-27,21:00:00,ANA Ducks,−125
218.0,2023-02-28,09:03:23,110,2023-02-28,18:00:00,DET Red Wings,+115
219.0,2023-02-28,09:03:23,110,2023-02-28,18:00:00,OTT Senators,−135
220.0,2023-02-28,09:03:23,111,2023-02-28,18:08:00,FLA Panthers,+140
