team,date_recorded,time_recorded,date_game,time_game,line,odds
DAL,2023-10-24,10:02:37,2023-10-24,18:30:00,-1.5,190
PIT,2023-10-24,10:02:37,2023-10-24,18:30:00,1.5,-265
SJS,2023-10-24,10:02:37,2023-10-24,18:45:00,1.5,-110
FLA,2023-10-24,10:02:37,2023-10-24,18:45:00,-1.5,-110
COL,2023-10-24,10:02:37,2023-10-24,19:00:00,-1.5,170
NYI,2023-10-24,10:02:37,2023-10-24,19:00:00,1.5,-235
SEA,2023-10-24,10:02:37,2023-10-24,19:15:00,1.5,-225
DET,2023-10-24,10:02:37,2023-10-24,19:15:00,-1.5,165
BOS,2023-10-24,10:02:37,2023-10-24,19:30:00,-1.5,110
CHI,2023-10-24,10:02:37,2023-10-24,19:30:00,1.5,-140
STL,2023-10-24,10:02:37,2023-10-24,19:45:00,1.5,-165
WPG,2023-10-24,10:02:37,2023-10-24,19:45:00,-1.5,130
EDM,2023-10-24,10:02:37,2023-10-24,20:00:00,1.5,-250
MIN,2023-10-24,10:02:37,2023-10-24,20:00:00,-1.5,180
VAN,2023-10-24,10:02:37,2023-10-24,20:15:00,1.5,-260
NSH,2023-10-24,10:02:37,2023-10-24,20:15:00,-1.5,185
NYR,2023-10-24,10:02:37,2023-10-24,20:15:00,-1.5,180
CGY,2023-10-24,10:02:37,2023-10-24,20:15:00,1.5,-250
ARI,2023-10-24,10:02:37,2023-10-24,21:30:00,1.5,-145
LAK,2023-10-24,10:02:37,2023-10-24,21:30:00,-1.5,115
PHI,2023-10-24,10:02:37,2023-10-24,22:00:00,1.5,-140
VGK,2023-10-24,10:02:37,2023-10-24,22:00:00,-1.5,110
WSH,2023-10-25,10:41:19,2023-10-25,18:37:00,1.5,-120
NJD,2023-10-25,10:41:19,2023-10-25,18:37:00,-1.5,100
ANA,2023-10-26,10:03:15,2023-10-26,18:07:00,1.5,100
BOS,2023-10-26,10:03:15,2023-10-26,18:07:00,-1.5,-120
SJS,2023-10-26,10:03:15,2023-10-26,18:07:00,1.5,-105
TBL,2023-10-26,10:03:15,2023-10-26,18:07:00,-1.5,-115
COL,2023-10-26,10:03:15,2023-10-26,18:07:00,-1.5,170
PIT,2023-10-26,10:03:15,2023-10-26,18:07:00,1.5,-235
WPG,2023-10-26,10:03:15,2023-10-26,18:07:00,-1.5,185
DET,2023-10-26,10:03:15,2023-10-26,18:07:00,1.5,-260
SEA,2023-10-26,10:03:15,2023-10-26,18:07:00,1.5,-165
CAR,2023-10-26,10:03:15,2023-10-26,18:07:00,-1.5,130
CBJ,2023-10-26,10:03:15,2023-10-26,18:07:00,1.5,-260
MTL,2023-10-26,10:03:15,2023-10-26,18:07:00,-1.5,185
MIN,2023-10-26,10:03:15,2023-10-26,18:37:00,-1.5,185
PHI,2023-10-26,10:03:15,2023-10-26,18:37:00,1.5,-260
OTT,2023-10-26,10:03:15,2023-10-26,18:37:00,1.5,-250
NYI,2023-10-26,10:03:15,2023-10-26,18:37:00,-1.5,180
TOR,2023-10-26,10:03:15,2023-10-26,19:07:00,1.5,-265
DAL,2023-10-26,10:03:15,2023-10-26,19:07:00,-1.5,190
NYR,2023-10-26,10:03:15,2023-10-26,20:07:00,-1.5,180
EDM,2023-10-26,10:03:15,2023-10-26,20:07:00,1.5,-250
STL,2023-10-26,10:03:15,2023-10-26,20:07:00,1.5,-175
CGY,2023-10-26,10:03:15,2023-10-26,20:07:00,-1.5,135
CHI,2023-10-27,07:38:41,2023-10-27,17:00:00,1.5,100
VGK,2023-10-27,07:38:41,2023-10-27,17:00:00,-1.5,-120
SJS,2023-10-27,07:38:41,2023-10-27,18:00:00,1.5,110
CAR,2023-10-27,07:38:41,2023-10-27,18:00:00,-1.5,-140
BUF,2023-10-27,07:38:41,2023-10-27,18:00:00,1.5,-155
NJD,2023-10-27,07:38:41,2023-10-27,18:00:00,-1.5,125
MIN,2023-10-27,07:38:41,2023-10-27,18:00:00,1.5,-275
WSH,2023-10-27,07:38:41,2023-10-27,18:00:00,-1.5,195
LAK,2023-10-27,07:38:41,2023-10-27,21:00:00,-1.5,170
ARI,2023-10-27,07:38:41,2023-10-27,21:00:00,1.5,-235
STL,2023-10-27,07:38:41,2023-10-27,21:00:00,1.5,-165
VAN,2023-10-27,07:38:41,2023-10-27,21:00:00,-1.5,130
ANA,2023-10-28,09:41:30,2023-10-28,12:00:00,1.5,-162
PHI,2023-10-28,09:41:30,2023-10-28,12:00:00,-1.5,136
SEA,2023-10-28,09:41:30,2023-10-28,17:00:00,1.5,-192
FLA,2023-10-28,09:41:30,2023-10-28,17:00:00,-1.5,160
DET,2023-10-28,09:41:30,2023-10-28,18:00:00,1.5,-142
BOS,2023-10-28,09:41:30,2023-10-28,18:00:00,-1.5,120
TOR,2023-10-28,09:41:30,2023-10-28,18:00:00,-1.5,170
NSH,2023-10-28,09:41:30,2023-10-28,18:00:00,1.5,-205
OTT,2023-10-28,09:41:30,2023-10-28,18:00:00,1.5,-192
PIT,2023-10-28,09:41:30,2023-10-28,18:00:00,-1.5,160
WPG,2023-10-28,09:41:30,2023-10-28,18:00:00,-1.5,160
MTL,2023-10-28,09:41:30,2023-10-28,18:00:00,1.5,-192
NYI,2023-10-28,09:41:30,2023-10-28,18:00:00,-1.5,160
CBJ,2023-10-28,09:41:30,2023-10-28,18:00:00,1.5,-192
NYR,2023-10-28,09:41:30,2023-10-28,21:00:00,-1.5,150
VAN,2023-10-28,09:41:30,2023-10-28,21:00:00,1.5,-180
VGK,2023-10-28,09:41:30,2023-10-28,21:30:00,-1.5,205
LAK,2023-10-28,09:41:30,2023-10-28,21:30:00,1.5,-250
COL,2023-10-29,08:37:11,2023-10-29,12:08:00,-1.5,145
BUF,2023-10-29,08:37:11,2023-10-29,12:08:00,1.5,-175
SJS,2023-10-29,08:37:11,2023-10-29,16:08:00,1.5,-125
WSH,2023-10-29,08:37:11,2023-10-29,16:08:00,-1.5,105
MIN,2023-10-29,08:37:11,2023-10-29,16:08:00,1.5,-162
NJD,2023-10-29,08:37:11,2023-10-29,16:08:00,-1.5,136
CGY,2023-10-29,08:37:11,2023-10-29,18:08:00,1.5,-180
EDM,2023-10-29,08:37:11,2023-10-29,18:08:00,-1.5,150
FLA,2023-10-30,11:52:21,2023-10-30,18:08:00,1.5,-185
BOS,2023-10-30,11:52:21,2023-10-30,18:08:00,-1.5,140
ANA,2023-10-30,11:52:21,2023-10-30,18:08:00,1.5,-130
PIT,2023-10-30,11:52:21,2023-10-30,18:08:00,-1.5,105
CAR,2023-10-30,11:52:21,2023-10-30,18:08:00,-1.5,125
PHI,2023-10-30,11:52:21,2023-10-30,18:08:00,1.5,-155
SEA,2023-10-30,11:52:21,2023-10-30,18:08:00,1.5,-210
TBL,2023-10-30,11:52:21,2023-10-30,18:08:00,-1.5,155
NYR,2023-10-30,11:52:21,2023-10-30,18:38:00,-1.5,190
WPG,2023-10-30,11:52:21,2023-10-30,18:38:00,1.5,-265
DET,2023-10-30,11:52:21,2023-10-30,18:38:00,1.5,-205
NYI,2023-10-30,11:52:21,2023-10-30,18:38:00,-1.5,150
CBJ,2023-10-30,11:52:21,2023-10-30,19:08:00,1.5,-110
DAL,2023-10-30,11:52:21,2023-10-30,19:08:00,-1.5,-110
MTL,2023-10-30,11:52:21,2023-10-30,21:08:00,1.5,-130
VGK,2023-10-30,11:52:21,2023-10-30,21:08:00,-1.5,105
CHI,2023-10-30,11:52:21,2023-10-30,21:08:00,1.5,-165
ARI,2023-10-30,11:52:21,2023-10-30,21:08:00,-1.5,130
LAK,2023-10-31,10:00:26,2023-10-31,19:07:00,1.5,-195
TOR,2023-10-31,10:00:26,2023-10-31,19:07:00,-1.5,145
NSH,2023-10-31,10:00:26,2023-10-31,21:07:00,1.5,-225
VAN,2023-10-31,10:00:26,2023-10-31,21:07:00,-1.5,165
BUF,2023-11-01,11:15:50,2023-11-01,18:07:00,-1.5,190
PHI,2023-11-01,11:15:50,2023-11-01,18:07:00,1.5,-265
DAL,2023-11-01,11:15:50,2023-11-01,19:37:00,-1.5,175
CGY,2023-11-01,11:15:50,2023-11-01,19:37:00,1.5,-240
STL,2023-11-01,11:15:50,2023-11-01,20:37:00,1.5,-120
COL,2023-11-01,11:15:50,2023-11-01,20:37:00,-1.5,100
ARI,2023-11-01,11:15:50,2023-11-01,21:07:00,-1.5,175
ANA,2023-11-01,11:15:50,2023-11-01,21:07:00,1.5,-240
TBL,2023-11-02,10:01:55,2023-11-02,18:07:00,-1.5,140
CBJ,2023-11-02,10:01:55,2023-11-02,18:07:00,1.5,-185
CAR,2023-11-02,10:01:55,2023-11-02,18:07:00,1.5,-290
NYR,2023-11-02,10:01:55,2023-11-02,18:07:00,-1.5,205
FLA,2023-11-02,10:01:55,2023-11-02,18:07:00,-1.5,190
DET,2023-11-02,10:01:55,2023-11-02,18:07:00,1.5,-265
LAK,2023-11-02,10:01:55,2023-11-02,18:07:00,-1.5,195
OTT,2023-11-02,10:01:55,2023-11-02,18:07:00,1.5,-275
NYI,2023-11-02,10:01:55,2023-11-02,18:07:00,-1.5,180
WSH,2023-11-02,10:01:55,2023-11-02,18:07:00,1.5,-250
TOR,2023-11-02,10:01:55,2023-11-02,18:37:00,1.5,-290
BOS,2023-11-02,10:01:55,2023-11-02,18:37:00,-1.5,205
NJD,2023-11-02,10:01:55,2023-11-02,19:07:00,-1.5,190
MIN,2023-11-02,10:01:55,2023-11-02,19:07:00,1.5,-265
DAL,2023-11-02,10:01:55,2023-11-02,20:07:00,1.5,-205
EDM,2023-11-02,10:01:55,2023-11-02,20:07:00,-1.5,150
WPG,2023-11-02,10:01:55,2023-11-02,21:07:00,1.5,-220
VGK,2023-11-02,10:01:55,2023-11-02,21:07:00,-1.5,160
NSH,2023-11-02,10:01:55,2023-11-02,21:07:00,1.5,-265
SEA,2023-11-02,10:01:55,2023-11-02,21:07:00,-1.5,190
MTL,2023-11-02,10:01:55,2023-11-02,21:07:00,1.5,-240
ARI,2023-11-02,10:01:55,2023-11-02,21:07:00,-1.5,175
VAN,2023-11-02,10:01:55,2023-11-02,21:37:00,-1.5,110
SJS,2023-11-02,10:01:55,2023-11-02,21:37:00,1.5,-140
PHI,2023-11-03,11:10:20,2023-11-03,18:07:00,1.5,-175
BUF,2023-11-03,11:10:20,2023-11-03,18:07:00,-1.5,135
NJD,2023-11-03,11:10:20,2023-11-03,19:07:00,-1.5,150
STL,2023-11-03,11:10:20,2023-11-03,19:07:00,1.5,-205
NSH,2023-11-04,10:13:02,2023-11-04,14:08:00,1.5,-165
EDM,2023-11-04,10:13:02,2023-11-04,14:08:00,-1.5,130
WPG,2023-11-04,10:13:02,2023-11-04,15:08:00,-1.5,180
