home,away,date_recorded,time_recorded,date_game,time_game,bet_type,line,odds
NJD,MIN,2023-10-29,08:37:11,2023-10-29,16:08:00,U,6.5,105
EDM,CGY,2023-10-29,08:37:11,2023-10-29,18:08:00,O,6.5,-110
EDM,CGY,2023-10-29,08:37:11,2023-10-29,18:08:00,U,6.5,-110
BOS,FLA,2023-10-30,11:52:21,2023-10-30,18:08:00,O,6.5,100
BOS,FLA,2023-10-30,11:52:21,2023-10-30,18:08:00,U,6.5,-120
PIT,ANA,2023-10-30,11:52:21,2023-10-30,18:08:00,O,6.5,-115
PIT,ANA,2023-10-30,11:52:21,2023-10-30,18:08:00,U,6.5,-105
PHI,CAR,2023-10-30,11:52:21,2023-10-30,18:08:00,O,6.0,-120
PHI,CAR,2023-10-30,11:52:21,2023-10-30,18:08:00,U,6.0,100
TBL,SEA,2023-10-30,11:52:21,2023-10-30,18:08:00,O,6.5,100
TBL,SEA,2023-10-30,11:52:21,2023-10-30,18:08:00,U,6.5,-120
WPG,NYR,2023-10-30,11:52:21,2023-10-30,18:38:00,O,5.5,-120
WPG,NYR,2023-10-30,11:52:21,2023-10-30,18:38:00,U,5.5,100
NYI,DET,2023-10-30,11:52:21,2023-10-30,18:38:00,O,6.0,100
NYI,DET,2023-10-30,11:52:21,2023-10-30,18:38:00,U,6.0,-120
DAL,CBJ,2023-10-30,11:52:21,2023-10-30,19:08:00,O,6.0,-115
DAL,CBJ,2023-10-30,11:52:21,2023-10-30,19:08:00,U,6.0,-105
VGK,MTL,2023-10-30,11:52:21,2023-10-30,21:08:00,O,6.5,100
VGK,MTL,2023-10-30,11:52:21,2023-10-30,21:08:00,U,6.5,-120
ARI,CHI,2023-10-30,11:52:21,2023-10-30,21:08:00,O,6.0,-120
ARI,CHI,2023-10-30,11:52:21,2023-10-30,21:08:00,U,6.0,100
TOR,LAK,2023-10-31,10:00:26,2023-10-31,19:07:00,O,6.5,-140
TOR,LAK,2023-10-31,10:00:26,2023-10-31,19:07:00,U,6.5,110
VAN,NSH,2023-10-31,10:00:26,2023-10-31,21:07:00,O,6.0,100
VAN,NSH,2023-10-31,10:00:26,2023-10-31,21:07:00,U,6.0,-120
PHI,BUF,2023-11-01,11:15:50,2023-11-01,18:07:00,O,6.5,-130
PHI,BUF,2023-11-01,11:15:50,2023-11-01,18:07:00,U,6.5,105
CGY,DAL,2023-11-01,11:15:50,2023-11-01,19:37:00,O,6.0,-105
CGY,DAL,2023-11-01,11:15:50,2023-11-01,19:37:00,U,6.0,-115
COL,STL,2023-11-01,11:15:50,2023-11-01,20:37:00,O,6.5,-110
COL,STL,2023-11-01,11:15:50,2023-11-01,20:37:00,U,6.5,-110
ANA,ARI,2023-11-01,11:15:50,2023-11-01,21:07:00,O,6.5,-110
ANA,ARI,2023-11-01,11:15:50,2023-11-01,21:07:00,U,6.5,-110
CBJ,TBL,2023-11-02,10:01:55,2023-11-02,18:07:00,O,6.5,-130
CBJ,TBL,2023-11-02,10:01:55,2023-11-02,18:07:00,U,6.5,105
NYR,CAR,2023-11-02,10:01:55,2023-11-02,18:07:00,O,5.5,-115
NYR,CAR,2023-11-02,10:01:55,2023-11-02,18:07:00,U,5.5,-105
DET,FLA,2023-11-02,10:01:55,2023-11-02,18:07:00,O,6.5,-130
DET,FLA,2023-11-02,10:01:55,2023-11-02,18:07:00,U,6.5,105
OTT,LAK,2023-11-02,10:01:55,2023-11-02,18:07:00,O,7.0,105
OTT,LAK,2023-11-02,10:01:55,2023-11-02,18:07:00,U,7.0,-130
WSH,NYI,2023-11-02,10:01:55,2023-11-02,18:07:00,O,5.5,-110
WSH,NYI,2023-11-02,10:01:55,2023-11-02,18:07:00,U,5.5,-110
BOS,TOR,2023-11-02,10:01:55,2023-11-02,18:37:00,O,6.0,100
BOS,TOR,2023-11-02,10:01:55,2023-11-02,18:37:00,U,6.0,-120
MIN,NJD,2023-11-02,10:01:55,2023-11-02,19:07:00,O,6.5,-140
MIN,NJD,2023-11-02,10:01:55,2023-11-02,19:07:00,U,6.5,110
EDM,DAL,2023-11-02,10:01:55,2023-11-02,20:07:00,O,6.5,-115
EDM,DAL,2023-11-02,10:01:55,2023-11-02,20:07:00,U,6.5,-105
VGK,WPG,2023-11-02,10:01:55,2023-11-02,21:07:00,O,6.0,-105
VGK,WPG,2023-11-02,10:01:55,2023-11-02,21:07:00,U,6.0,-115
SEA,NSH,2023-11-02,10:01:55,2023-11-02,21:07:00,O,5.5,-120
SEA,NSH,2023-11-02,10:01:55,2023-11-02,21:07:00,U,5.5,100
ARI,MTL,2023-11-02,10:01:55,2023-11-02,21:07:00,O,6.5,100
ARI,MTL,2023-11-02,10:01:55,2023-11-02,21:07:00,U,6.5,-120
SJS,VAN,2023-11-02,10:01:55,2023-11-02,21:37:00,O,6.0,-115
SJS,VAN,2023-11-02,10:01:55,2023-11-02,21:37:00,U,6.0,-105
BUF,PHI,2023-11-03,11:10:20,2023-11-03,18:07:00,O,6.5,-130
BUF,PHI,2023-11-03,11:10:20,2023-11-03,18:07:00,U,6.5,105
STL,NJD,2023-11-03,11:10:20,2023-11-03,19:07:00,O,6.5,-120
STL,NJD,2023-11-03,11:10:20,2023-11-03,19:07:00,U,6.5,100
EDM,NSH,2023-11-04,10:13:02,2023-11-04,14:08:00,O,6.5,-120
EDM,NSH,2023-11-04,10:13:02,2023-11-04,14:08:00,U,6.5,100
ARI,WPG,2023-11-04,10:13:02,2023-11-04,15:08:00,O,6.0,-115
ARI,WPG,2023-11-04,10:13:02,2023-11-04,15:08:00,U,6.0,-105
DET,BOS,2023-11-04,10:13:02,2023-11-04,18:08:00,O,6.0,100
DET,BOS,2023-11-04,10:13:02,2023-11-04,18:08:00,U,6.0,-120
TOR,BUF,2023-11-04,10:13:02,2023-11-04,18:08:00,O,6.5,-140
TOR,BUF,2023-11-04,10:13:02,2023-11-04,18:08:00,U,6.5,110
OTT,TBL,2023-11-04,10:13:02,2023-11-04,18:08:00,O,7.0,110
OTT,TBL,2023-11-04,10:13:02,2023-11-04,18:08:00,U,7.0,-140
STL,MTL,2023-11-04,10:13:02,2023-11-04,18:08:00,O,6.5,100
